run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
27006,TC,GD,7,10,0.894732,0.583732,0.132585,1,4,10,0,56,60
27007,TC,GD,7,5,0.857968,0.524655,0.264508,1,4,227,227,54,75
27008,TC,GD,7,20,0.88997,0.558969,0.199433,4,4,51,51,54,480
27009,TC,GD,5,5,0.957856,0.410068,0.190769,14,2,50,0,67,345
27010,TC,GD,7,5,0.844243,0.626475,0.111086,5,3,4,0,60,40
27011,TC,GD,3,10,0.936922,0.651484,0.167335,11,2,24,0,85,820
27012,TC,GD,5,15,0.916105,0.541707,0.197973,3,2,66,0,65,600
27013,TC,GD,7,15,0.899463,0.572627,0.26241,3,3,187,149,61,825
27014,TC,GD,3,15,0.85396,0.433243,0.217639,14,2,78,0,84,1500
27015,TC,GD,7,10,0.802954,0.536454,0.231751,2,4,112,112,54,160
27016,TC,GD,7,5,0.995163,0.480738,0.228091,12,3,86,86,54,1835
27017,TC,GD,7,15,0.915205,0.562735,0.226039,2,3,75,0,68,375
27018,TC,GD,3,10,0.948077,0.520311,0.192053,11,3,54,54,54,1790
27019,TC,GD,5,15,0.820525,0.602017,0.105489,14,2,11,0,58,120
27020,TC,GD,7,10,0.924914,0.403613,0.11897,2,4,8,7,56,20
27021,TC,GD,3,5,0.907807,0.468277,0.211453,15,3,79,79,54,2215
27022,TC,GD,3,15,0.848583,0.496814,0.17823,11,3,35,35,54,2610
27023,TC,GD,7,20,0.868932,0.657646,0.111662,3,3,3,3,54,80
27024,TC,GD,5,10,0.862373,0.529511,0.172098,4,3,33,33,54,270
27025,TC,GD,5,15,0.908651,0.479242,0.266262,3,4,174,174,54,420
27026,TC,GD,3,20,0.95745,0.687052,0.232969,6,3,117,84,67,1340
27027,TC,GD,3,15,0.822976,0.470432,0.270136,1,3,223,223,54,465
27028,TC,GD,7,5,0.943951,0.544167,0.202263,11,3,39,39,54,1455
27029,TC,GD,5,15,0.971804,0.599089,0.102226,3,3,0,0,54,15
27030,TC,GD,5,10,0.861989,0.510931,0.276378,12,4,249,249,54,1750
