run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
6065,BR,ND,7,15,0.848898,0.597109,0.288696,4,2,475,0,72,3840
6066,BR,ND,7,15,0.816579,0.508965,0.161292,15,2,118,0,91,14400
6067,BR,ND,7,10,0.921748,0.563589,0.252813,8,2,263,0,78,5120
6068,BR,ND,7,15,0.847014,0.662797,0.234771,1,3,201,0,69,540
6069,BR,ND,7,10,0.898359,0.601596,0.133305,6,4,25,0,73,960
6070,BR,ND,5,20,0.982271,0.526263,0.110104,15,3,45,0,95,10800
6071,BR,ND,3,10,0.959152,0.463695,0.215154,15,2,148,0,93,9600
6072,BR,ND,7,20,0.938282,0.548431,0.294471,1,4,447,447,54,320
6073,BR,ND,7,5,0.813702,0.599945,0.136446,1,3,31,0,58,180
6074,BR,ND,5,15,0.913898,0.531273,0.109229,8,4,19,0,80,1920
6075,BR,ND,5,20,0.822654,0.561135,0.211824,5,3,186,0,71,3600
6076,BR,ND,3,5,0.951805,0.633088,0.240275,9,3,232,232,54,1620
6077,BR,ND,7,20,0.987817,0.521848,0.24689,2,3,250,0,66,1440
6078,BR,ND,7,20,0.933682,0.641309,0.272411,5,2,432,0,75,6400
6079,BR,ND,5,20,0.98239,0.470719,0.109257,6,2,69,0,73,7680
6080,BR,ND,5,10,0.924789,0.426616,0.150216,7,4,29,29,54,1120
6081,BR,ND,5,10,0.879656,0.674477,0.165266,12,4,46,46,54,1920
6082,BR,ND,7,5,0.970288,0.519066,0.25542,10,4,255,255,54,800
6083,BR,ND,5,20,0.940098,0.514773,0.209059,1,3,174,174,54,720
6084,BR,ND,7,10,0.984434,0.510322,0.138253,14,3,25,0,90,5040
6085,BR,ND,3,20,0.937119,0.443881,0.163506,6,3,104,0,77,4320
6086,BR,ND,7,5,0.989105,0.427622,0.218737,13,3,97,0,87,2340
6087,BR,ND,5,5,0.928585,0.502375,0.239956,8,4,154,154,54,640
6088,BR,ND,7,10,0.993012,0.430656,0.192114,15,4,79,0,92,2400
6089,BR,ND,7,20,0.978268,0.468565,0.103412,9,3,45,0,80,6480
6090,BR,ND,5,5,0.981235,0.47562,0.14327,13,2,40,0,88,4160
6091,BR,ND,7,5,0.891489,0.571209,0.254606,11,4,207,207,54,880
6092,BR,ND,7,5,0.824542,0.437379,0.11835,6,2,20,0,74,1920
6093,BR,ND,7,5,0.985268,0.694462,0.296715,5,3,518,518,54,900
6094,BR,ND,7,10,0.908797,0.429746,0.168917,9,4,46,0,78,1440
6095,BR,ND,5,20,0.917489,0.483897,0.226666,1,3,196,0,70,720
6096,BR,ND,5,5,0.900676,0.418775,0.135075,8,4,19,0,74,640
6097,BR,ND,7,5,0.975552,0.45723,0.164287,15,3,44,0,89,2700
6098,BR,ND,3,20,0.82394,0.454366,0.170995,11,2,134,0,84,14080
6099,BR,ND,7,10,0.905376,0.682457,0.121443,11,2,54,0,84,7040
6100,BR,ND,7,10,0.868672,0.425289,0.211664,9,3,140,0,79,3240
6101,BR,ND,7,15,0.947916,0.622221,0.227678,15,3,194,0,92,8100
6102,BR,ND,7,5,0.823751,0.480598,0.195337,8,4,91,91,54,640
6103,BR,ND,5,15,0.950279,0.679617,0.196626,5,3,148,0,73,2700
6104,BR,ND,5,5,0.976419,0.461177,0.154864,8,3,56,0,78,1440
6105,BR,ND,7,10,0.806913,0.425158,0.286018,5,3,399,151,71,1800
6106,BR,ND,7,5,0.852733,0.582314,0.21385,6,4,86,86,54,480
6107,BR,ND,7,5,0.821735,0.628953,0.11255,11,3,15,0,83,1980
6108,BR,ND,7,10,0.921494,0.458384,0.100924,10,2,36,0,83,6400
6109,BR,ND,7,10,0.839207,0.446713,0.264441,9,2,347,0,78,5760
6110,BR,ND,7,15,0.892785,0.42945,0.214157,8,3,172,0,78,4320
6111,BR,ND,7,5,0.891711,0.548843,0.251732,8,3,226,90,75,1440
6112,BR,ND,3,20,0.897438,0.641628,0.236985,12,3,231,0,87,8640
6113,BR,ND,7,20,0.915515,0.589937,0.172314,4,4,70,0,67,1280
6114,BR,ND,3,20,0.851662,0.596209,0.161303,3,4,69,69,54,960
6115,BR,ND,5,15,0.852945,0.418332,0.195097,4,2,151,0,71,3840
6116,BR,ND,7,5,0.862354,0.659757,0.147819,14,4,28,0,88,1120
6117,BR,ND,7,5,0.988589,0.574518,0.245089,15,2,234,0,90,4800
6118,BR,ND,5,5,0.868788,0.619142,0.158186,10,3,44,0,82,1800
6119,BR,ND,7,10,0.960624,0.495881,0.205944,11,3,137,0,83,3960
6120,BR,ND,5,5,0.823056,0.548448,0.192726,10,2,97,0,81,3200
6121,BR,ND,3,10,0.835083,0.596071,0.295512,1,3,485,485,54,360
6122,BR,ND,5,20,0.999896,0.439238,0.194143,12,2,195,0,88,15360
6123,BR,ND,3,20,0.887003,0.656678,0.235884,6,4,215,215,54,1920
6124,BR,ND,5,5,0.804847,0.483708,0.164216,10,2,70,0,80,3200
6125,BR,ND,7,20,0.931864,0.545239,0.214441,1,2,238,131,58,1280
6126,BR,ND,7,20,0.939345,0.559653,0.140129,1,3,52,0,67,720
6127,BR,ND,5,20,0.91836,0.677568,0.20231,12,2,199,0,89,15360
6128,BR,ND,7,10,0.832099,0.43543,0.19762,1,2,127,43,58,640
6129,BR,ND,7,5,0.937603,0.688939,0.280389,5,2,410,410,54,1600
6130,BR,ND,5,10,0.990253,0.518183,0.163045,11,2,85,0,87,7040
